organizationNumber;domain;reason
984030460;sandneshavneterminal.no;Bekreftet i domenebenchmark 2026-08-02. Registrert e-postdomene aktivepost.no tilhører ikke virksomheten.
913498194;ixys.no;Bekreftet i domenebenchmark 2026-08-02. Registrert e-postdomene envirex.no identifiserer en relatert virksomhet, ikke IXYS presist.
